country,year,"GNI per capita, Atlas method (current US$)","Population, total",Surface area (sq. km),Population living in slums (% of urban population),hie,near_2_plus_oceans,border_count,size
Estonia,2004,7500.0,1362550.0,45230.0,0.05,False,False,2.0,small
Eswatini,2004,2020.0,1073159.0,17360.0,55.35217,False,False,2.0,small
Ethiopia,2004,130.0,76077206.0,1136243.3,85.98109,False,False,6.0,large
Fiji,2004,2820.0,874366.0,18270.0,15.0,False,False,0.0,small
Finland,2004,35370.0,5228172.0,338150.0,0.0,True,False,3.0,medium
France,2004,31340.0,62707588.0,549087.0,0.0,True,False,8.0,large
Gabon,2004,4110.0,1421609.0,267670.0,53.6879,False,False,3.0,small
Gambia,2004,430.0,1621312.0,11300.0,53.31504,False,False,1.0,small
Georgia,2004,1210.0,3927340.0,69700.0,13.2148,False,False,4.0,medium
Germany,2004,32080.0,82516260.0,357050.0,0.0,True,False,9.0,large
Ghana,2004,370.0,21868298.0,238540.0,53.64802,False,False,3.0,large
Greece,2004,19280.0,10955141.0,131960.0,0.25,True,False,4.0,medium
Guatemala,2004,1830.0,12807402.0,108890.0,51.0228,False,True,4.0,large
Guinea,2004,550.0,9062726.0,245860.0,42.3337,False,False,6.0,medium
Guyana,2004,1010.0,762418.0,214970.0,25.31799,False,False,3.0,small
Haiti,2004,680.0,8910263.0,27750.0,58.67204,False,False,1.0,medium
Honduras,2004,1210.0,7298994.0,112490.0,43.24,False,True,3.0,medium
Hungary,2004,8650.0,10107146.0,93030.0,12.9,False,False,7.0,medium
Iceland,2004,41660.0,292074.0,103000.0,0.0,True,True,0.0,small
Indonesia,2004,1060.0,227926649.0,1910930.0,31.81729,False,True,3.0,large
Iran,2004,2450.0,70256316.0,1745150.0,55.97413,False,False,7.0,large
Iraq,2004,1310.0,27577878.0,438320.0,36.98314,False,False,6.0,large
Ireland,2004,37840.0,4070262.0,70280.0,6.7,True,False,1.0,medium
Italy,2004,28390.0,57828179.0,302069.0,0.02,True,False,6.0,large
Kazakhstan,2004,2180.0,15850159.0,2724902.0,18.89002,False,False,5.0,large
Kenya,2004,460.0,34713455.0,580370.0,60.09171,False,False,5.0,large
Kiribati,2004,1430.0,96085.0,810.0,15.55,False,False,0.0,small
Kuwait,2004,29080.0,2157320.0,17820.0,0.0,True,False,2.0,small
Kyrgyzstan,2004,400.0,5104713.0,199950.0,38.2146,False,False,4.0,medium
Laos,2004,380.0,5781626.0,236800.0,47.5,False,False,5.0,medium
Latvia,2004,5610.0,2263122.0,64594.0,2.4,False,False,4.0,small
Lebanon,2004,4700.0,4599279.0,10450.0,92.4,False,False,2.0,medium
Lesotho,2004,820.0,1971129.0,30360.0,58.59683,False,False,1.0,small
Liberia,2004,210.0,3156892.0,111370.0,75.48823,False,False,3.0,medium
Libya,2004,5150.0,5736693.0,1759540.0,41.5949,False,False,6.0,medium
Lithuania,2004,6020.0,3377075.0,65300.0,3.3,False,False,4.0,medium
Luxembourg,2004,62680.0,458095.0,2590.0,0.0009,True,False,3.0,small
Madagascar,2004,330.0,18606608.0,587040.0,86.63257,False,False,0.0,large
Malawi,2004,440.0,12500737.0,118480.0,74.38269,False,False,3.0,large
Maldives,2004,3890.0,301413.0,300.0,41.535,False,False,0.0,small
Mali,2004,500.0,13102409.0,1240190.0,75.48678,False,False,7.0,large
Malta,2004,14200.0,401268.0,320.0,0.0375,True,False,0.0,small
Marshall Islands,2004,3400.0,51791.0,180.0,2.2,False,False,0.0,small
Mauritania,2004,820.0,2868664.0,1030700.0,77.94,False,False,4.0,small
Mauritius,2004,5240.0,1221003.0,2040.0,72.35662,False,False,0.0,small
Mexico,2004,8240.0,104394131.0,1964380.0,28.73289,False,True,3.0,large
Moldova,2004,910.0,2896023.0,33850.0,20.8,False,False,2.0,small
Mongolia,2004,760.0,2508412.0,1564120.0,49.65902,False,False,2.0,small
Montenegro,2004,3100.0,613353.0,13810.0,18.5,False,False,4.0,small
Morocco,2004,2060.0,29953018.0,446550.0,27.57876,False,False,3.0,large
Mozambique,2004,380.0,19840313.0,799380.0,83.06817,False,False,6.0,large
Myanmar,2004,230.0,47068772.0,676590.0,35.81751,False,False,5.0,large
Namibia,2004,2840.0,1942082.0,824290.0,42.25878,False,False,4.0,small
Nauru,2004,3090.0,10060.0,20.0,2.75,False,False,0.0,small
Nepal,2004,280.0,26016656.0,147180.0,60.52627,False,False,2.0,large
Netherlands,2004,36800.0,16281779.0,41530.0,0.0,True,False,2.0,large
New Zealand,2004,21530.0,4087500.0,267710.0,0.0,True,False,0.0,medium
Nicaragua,2004,1100.0,5272912.0,130370.0,69.07378,False,True,2.0,medium
Niger,2004,280.0,13265836.0,1267000.0,70.15403,False,False,7.0,large
North Macedonia,2004,2610.0,2016186.0,25710.0,1.3,False,False,4.0,small
Norway,2004,54290.0,4591910.0,385178.0,0.0,True,True,3.0,medium
Oman,2004,11050.0,2404821.0,309500.0,3.55,True,False,3.0,small
Pakistan,2004,740.0,171286000.0,796100.0,68.17208,False,False,4.0,large
Palau,2004,8370.0,19820.0,460.0,1.7,False,False,0.0,small
Panama,2004,4490.0,3251155.0,75420.0,40.05308,False,True,2.0,medium
Papua New Guinea,2004,540.0,6328041.0,462840.0,19.75,False,False,1.0,medium
Paraguay,2004,1440.0,5388175.0,406750.0,36.03286,False,False,3.0,medium
Peru,2004,2270.0,27852190.0,1285220.0,43.71555,False,False,5.0,large
Philippines,2004,1260.0,86394504.0,300000.0,47.16139,False,False,0.0,large
Poland,2004,6290.0,38182222.0,312690.0,1.55,False,False,7.0,large
Portugal,2004,16190.0,10483861.0,92120.0,0.95,True,False,1.0,medium
Romania,2004,2960.0,21451748.0,238390.0,3.65,False,False,5.0,large
Russia,2004,3410.0,144067316.0,17098240.0,3.5,False,True,14.0,large
Rwanda,2004,270.0,8816844.0,26340.0,64.45814,False,False,4.0,medium
Samoa,2004,1850.0,186249.0,2840.0,4.55,False,False,0.0,small
Sao Tome And Principe,2004,690.0,157705.0,960.0,61.4,False,False,0.0,small
Senegal,2004,850.0,10975704.0,196710.0,60.04485,False,False,5.0,medium
Serbia,2004,3340.0,7463157.0,88360.0,0.6,False,False,8.0,medium
Seychelles,2004,9870.0,82475.0,460.0,72.35662,False,False,0.0,small
Sierra Leone,2004,410.0,5355717.0,72300.0,72.5475,False,False,2.0,medium
Singapore,2004,26170.0,4166664.0,699.0,0.0,True,False,0.0,medium
Slovakia,2004,9010.0,5372280.0,49030.0,0.05,False,False,5.0,medium
Solomon Islands,2004,980.0,474611.0,28900.0,10.4,False,False,0.0,small
Somalia,2004,310.0,10280998.0,637660.0,72.35662,False,False,3.0,medium
South Africa,2004,4040.0,48991421.0,1219090.0,26.84803,False,True,6.0,large
Sri Lanka,2004,1030.0,20087605.0,65610.0,55.97413,False,False,0.0,large
St. Lucia,2004,6300.0,164239.0,620.0,4.5,False,False,0.0,small
Sudan,2004,620.0,30556637.0,2505810.0,99.1,False,False,7.0,large
Suriname,2004,2710.0,513923.0,163820.0,9.10421,False,False,3.0,small
Sweden,2004,39690.0,8993531.0,447420.11,0.25,True,False,2.0,medium
Switzerland,2004,55000.0,7389625.0,41290.7,0.0,True,False,5.0,medium
Syria,2004,1280.0,18336875.0,185180.0,31.30597,False,False,5.0,large
Tanzania,2004,460.0,38109668.0,947300.0,72.81275,False,False,8.0,large
Timor-Leste,2004,820.0,929074.0,14870.0,56.1,False,True,1.0,small
Togo,2004,530.0,5696508.0,56790.0,62.78541,False,False,3.0,medium
Tonga,2004,2050.0,105071.0,750.0,1.8,False,False,0.0,small
Trinidad And Tobago,2004,9300.0,1345380.0,5130.0,11.06,False,False,0.0,small
Turkiye,2004,5170.0,68592617.0,785350.0,21.79329,False,False,8.0,large
Turkmenistan,2004,1240.0,4958093.0,488100.0,10.50752,False,False,4.0,medium
Tuvalu,2004,3380.0,9816.0,30.0,4.25,False,False,0.0,small
Uganda,2004,280.0,27154515.0,241550.0,75.52337,False,False,5.0,large
Ukraine,2004,1250.0,47979507.0,603550.0,4.6,False,False,7.0,large
United Arab Emirates,2004,33220.0,4428967.0,98647.9,0.95,True,False,2.0,medium
United Kingdom,2004,37910.0,59987905.0,243610.0,0.1,True,False,1.0,large
United States,2004,43520.0,292805298.0,9632030.0,0.2,True,False,0.0,large
Uruguay,2004,4180.0,3283148.0,176220.0,23.67571,False,False,2.0,medium
Uzbekistan,2004,460.0,26029350.0,444103.0,23.97195,False,False,5.0,large
Vanuatu,2004,1580.0,205711.0,12190.0,4.55,False,False,0.0,small
Venezuela,2004,4060.0,26340838.0,912050.0,25.7,False,False,3.0,large
Vietnam,2004,550.0,80338971.0,329314.0,35.429,False,False,3.0,large
Yemen,2004,540.0,22095167.0,527970.0,58.56911,False,False,2.0,large
Zambia,2004,470.0,11338198.0,752610.0,60.67926,False,False,8.0,large
Zimbabwe,2004,320.0,12365896.0,390760.0,26.33104,False,False,4.0,large
Afghanistan,2006,270.0,25424094.0,652860.0,63.6,False,False,6.0,small
Albania,2006,3130.0,2992547.0,28750.0,20.5,False,False,4.0,small
Algeria,2006,3310.0,33623506.0,2381740.0,30.8,False,False,7.0,small
Angola,2006,2090.0,20015279.0,1246700.0,25.79191,False,False,4.0,small
Argentina,2006,5440.0,39622115.0,2780400.0,18.11494,False,True,5.0,medium
Armenia,2006,1910.0,3127100.0,29740.0,11.3289,False,False,4.0,small
Aruba,2006,23920.0,99405.0,180.0,0.0,True,False,0.0,small
Australia,2006,34670.0,20450966.0,7741220.0,0.125,True,True,0.0,small
Austria,2006,41170.0,8268641.0,83879.0,4.4,True,False,8.0,small
Azerbaijan,2006,1920.0,8484550.0,86600.0,32.93,False,False,5.0,small
Bangladesh,2006,550.0,146405973.0,148460.0,56.3783,False,False,2.0,large
Belgium,2006,39940.0,10547958.0,30528.0,0.0,True,False,4.0,small
Belize,2006,5160.0,287878.0,22970.0,15.75333,False,False,2.0,small
Benin,2006,810.0,8693242.0,114760.0,70.68586,False,False,4.0,small
Bhutan,2006,1390.0,670799.0,38394.0,55.27324,False,False,2.0,small
Bolivia,2006,1090.0,9521689.0,1098580.0,51.15337,False,False,5.0,small
Bosnia And Herzegovina,2006,3160.0,4063272.0,51210.0,4.9,False,False,3.0,small
Botswana,2006,5400.0,1874516.0,581730.0,52.32451,False,False,4.0,small
Brazil,2006,4890.0,186653106.0,8515770.0,24.81844,False,False,10.0,large
Brunei,2006,30720.0,364663.0,5770.0,32.35866,True,False,1.0,small
Bulgaria,2006,4300.0,7601022.0,111000.0,0.1,False,False,5.0,small
Burkina Faso,2006,470.0,14373707.0,274220.0,65.51314,False,False,6.0,small
Burundi,2006,150.0,7865547.0,27830.0,71.68054,False,False,3.0,small
Cabo Verde,2006,2200.0,490728.0,4030.0,63.82988,False,False,0.0,small
Cambodia,2006,580.0,13639028.0,181040.0,67.9,False,False,3.0,small
Cameroon,2006,1200.0,17550407.0,475440.0,55.55619,False,False,6.0,small
Canada,2006,37900.0,32571193.0,15640500.0,0.3,True,True,1.0,small
Central African Republic,2006,330.0,4377579.0,622980.0,77.43913,False,False,6.0,small
Chad,2006,630.0,10706424.0,1284000.0,88.20191,False,False,6.0,small
Chile,2006,7350.0,16509195.0,756096.0,7.3,False,True,3.0,small
Colombia,2006,3540.0,42691084.0,1141750.0,17.14349,False,True,5.0,medium
Comoros,2006,1140.0,604753.0,1861.0,66.27029,False,False,0.0,small
Congo Dem. Rep,2006,220.0,60615908.0,2344860.0,72.37482,False,False,9.0,medium
Costa Rica,2006,5090.0,4321340.0,51100.0,9.95087,False,True,2.0,small
Cote D'Ivoire,2006,850.0,20546802.0,322460.0,62.45466,False,False,5.0,small
Croatia,2006,11240.0,4311159.0,56590.0,0.35,True,False,5.0,small
Cuba,2006,4410.0,11278550.0,109890.0,3.20225,False,False,0.0,small
Cyprus,2006,25600.0,1054418.0,9250.0,0.25,True,False,0.0,small
Czechia,2006,13990.0,10238905.0,78870.0,0.05,True,False,4.0,small
Denmark,2006,53630.0,5437272.0,42920.0,0.0,True,False,1.0,small
Dominican Republic,2006,3590.0,9341183.0,48670.0,23.06549,False,False,1.0,small
Ecuador,2006,3000.0,14086131.0,256370.0,57.8,False,False,2.0,small
Egypt,2006,1230.0,82700403.0,1001450.0,25.69566,False,True,4.0,large
El Salvador,2006,2600.0,6002319.0,21040.0,46.49143,False,False,2.0,small
Equatorial Guinea,2006,6420.0,990343.0,28050.0,59.17237,False,False,2.0,small
Eritrea,2006,440.0,2703502.0,121659.95,69.89404,False,False,3.0,small
Estonia,2006,11500.0,1346810.0,45230.0,0.1,True,False,2.0,small
Eswatini,2006,3090.0,1084436.0,17360.0,47.92817,False,False,2.0,small
Ethiopia,2006,180.0,80703490.0,1136243.0,82.88584,False,False,6.0,large
Fiji,2006,3350.0,890365.0,18270.0,14.5,False,False,0.0,small
Finland,2006,42830.0,5266268.0,338440.0,0.0,True,False,3.0,small
France,2006,37920.0,63622342.0,549087.0,0.0,True,False,8.0,medium
Gabon,2006,5450.0,1508337.0,267670.0,51.81685,False,False,3.0,small
Gambia,2006,600.0,1715275.0,11300.0,51.5123,False,False,1.0,small
Georgia,2006,1910.0,3880347.0,69700.0,12.44783,False,False,4.0,small
Germany,2006,38890.0,82376451.0,357100.0,0.0,True,False,9.0,large
Ghana,2006,570.0,23040702.0,238540.0,50.28782,False,False,3.0,small
Greece,2006,24160.0,11020362.0,131960.0,0.2,True,False,4.0,small
Guatemala,2006,2130.0,13367459.0,108890.0,48.78615,False,True,4.0,small
Guinea,2006,500.0,9441171.0,245860.0,43.16788,False,False,6.0,small
Guyana,2006,1450.0,758966.0,214970.0,23.67077,False,False,3.0,small
Haiti,2006,800.0,9216562.0,27750.0,57.36641,False,False,1.0,small
Honduras,2006,1360.0,7656832.0,112490.0,40.9,False,True,3.0,small
Hungary,2006,11230.0,10071370.0,93030.0,11.6,True,False,7.0,small
Iceland,2006,54890.0,303782.0,103000.0,0.0,True,True,0.0,small
Indonesia,2006,1350.0,233951652.0,1910930.0,30.1631,False,True,3.0,large
Iran,2006,3330.0,73392747.0,1745150.0,55.27324,False,False,7.0,medium
Iraq,2006,1880.0,28616515.0,438320.0,38.52762,False,False,6.0,small
Ireland,2006,47950.0,4273591.0,70280.0,6.9,True,False,1.0,small
Italy,2006,34260.0,58399861.0,302069.0,0.02,True,False,6.0,medium
Kazakhstan,2006,3670.0,16103716.0,2724902.0,16.10598,False,False,5.0,small
Kenya,2006,590.0,36904008.0,580370.0,58.54531,False,False,5.0,medium
Kiribati,2006,1670.0,100017.0,810.0,14.35,False,False,0.0,small
Kuwait,2006,42460.0,2364733.0,17820.0,0.0,True,False,2.0,small
Kyrgyzstan,2006,500.0,5218373.0,199950.0,33.74269,False,False,4.0,small
Laos,2006,500.0,5963200.0,236800.0,44.1,False,False,5.0,small
Latvia,2006,8590.0,2218357.0,64594.0,2.15,False,False,4.0,small
Lebanon,2006,4870.0,4751136.0,10450.0,92.41022,False,False,2.0,small
Lesotho,2006,1160.0,1945063.0,30360.0,54.46637,False,False,1.0,small
Liberia,2006,270.0,3490787.0,111370.0,74.59566,False,False,3.0,small
Libya,2006,8540.0,5980211.0,1759540.0,35.16781,False,False,6.0,small
Lithuania,2006,8810.0,3269909.0,65300.0,2.85,False,False,4.0,small
Luxembourg,2006,71370.0,472637.0,2590.0,0.00343,True,False,3.0,small
Madagascar,2006,310.0,19730909.0,587040.0,84.23101,False,False,0.0,small
Malawi,2006,440.0,13198701.0,118480.0,70.86866,False,False,3.0,small
Maldives,2006,4710.0,313851.0,300.0,41.535,False,False,0.0,small
Mali,2006,590.0,13990139.0,1240190.0,71.29204,False,False,7.0,small
Malta,2006,16330.0,405308.0,320.0,0.0375,True,False,0.0,small
Marshall Islands,2006,3540.0,51992.0,180.0,2.0,False,False,0.0,small
Mauritania,2006,1180.0,3013660.0,1030700.0,74.5634,False,False,4.0,small
Mauritius,2006,5910.0,1233996.0,2040.0,69.89404,False,False,0.0,small
Mexico,2006,9140.0,107253666.0,1964380.0,27.01784,False,True,3.0,large
Moldova,2006,1280.0,2880967.0,33850.0,18.0,False,False,2.0,small
Mongolia,2006,1110.0,2567168.0,1564120.0,45.68648,False,False,2.0,small
Montenegro,2006,4320.0,615025.0,13810.0,17.3,False,False,4.0,small
Morocco,2006,2490.0,30771178.0,446550.0,24.79078,False,False,3.0,small
Mozambique,2006,450.0,20787087.0,799380.0,79.55451,False,False,6.0,small
Myanmar,2006,300.0,47785135.0,676590.0,39.02659,False,False,5.0,medium
Namibia,2006,3990.0,1991888.0,824290.0,42.10975,False,False,4.0,small
Nauru,2006,3890.0,10034.0,20.0,2.25,False,False,0.0,small
Nepal,2006,330.0,26565425.0,147180.0,57.63426,False,False,2.0,small
Netherlands,2006,45500.0,16346101.0,41540.0,0.0,True,False,2.0,small
New Zealand,2006,26380.0,4184600.0,267710.0,0.0,True,False,0.0,small
Nicaragua,2006,1220.0,5418855.0,130370.0,67.81162,False,True,2.0,small
Niger,2006,350.0,14268581.0,1267000.0,70.21202,False,False,7.0,small
North Macedonia,2006,3430.0,1994287.0,25710.0,1.15,False,False,4.0,small
Norway,2006,70300.0,4660677.0,385178.0,0.0,True,True,3.0,small
Oman,2006,14850.0,2514795.0,309500.0,2.9,True,False,3.0,small
Pakistan,2006,890.0,179682690.0,796100.0,66.64728,False,False,4.0,large
Palau,2006,9440.0,19593.0,460.0,1.5,False,False,0.0,small
Panama,2006,5270.0,3375024.0,75420.0,35.74154,False,True,2.0,small
Papua New Guinea,2006,780.0,6747720.0,462840.0,20.1,False,False,1.0,small
Paraguay,2006,1980.0,5505148.0,406750.0,33.03571,False,False,3.0,small
Peru,2006,2790.0,28324491.0,1285220.0,41.86678,False,False,5.0,small
Philippines,2006,1470.0,89508986.0,300000.0,45.75529,False,False,0.0,large
Poland,2006,8450.0,38141267.0,312680.0,1.25,False,False,7.0,medium
Portugal,2006,19410.0,10522288.0,92090.0,0.75,True,False,1.0,small
Romania,2006,4900.0,21193760.0,238390.0,3.5,False,False,5.0,small
Russia,2006,5810.0,143049637.0,17098240.0,3.35,False,True,14.0,large
Rwanda,2006,350.0,9299246.0,26340.0,60.97695,False,False,4.0,small
Samoa,2006,2470.0,187709.0,2840.0,3.9,False,False,0.0,small
Sao Tome And Principe,2006,910.0,165638.0,960.0,61.4,False,False,0.0,small
Senegal,2006,1020.0,11500094.0,196710.0,56.48985,False,False,5.0,small
Serbia,2006,4280.0,7411569.0,88360.0,0.6,False,False,8.0,small
Seychelles,2006,13380.0,84600.0,460.0,69.89404,True,False,0.0,small
Sierra Leone,2006,440.0,5624466.0,72300.0,69.80989,False,False,2.0,small
Singapore,2006,32550.0,4401365.0,704.0,0.0,True,False,0.0,small
Slovakia,2006,12950.0,5373054.0,49030.0,0.05,True,False,5.0,small
Solomon Islands,2006,1190.0,491594.0,28900.0,8.95,False,False,0.0,small
Somalia,2006,450.0,10975502.0,637660.0,69.89404,False,False,3.0,small
South Africa,2006,6120.0,49998277.0,1219090.0,26.46718,False,True,6.0,medium
Sri Lanka,2006,1320.0,20352411.0,65610.0,55.27324,False,False,0.0,small
St. Lucia,2006,7210.0,166639.0,620.0,3.9,False,False,0.0,small
Sudan,2006,920.0,31992435.0,2505810.0,99.08834,False,False,7.0,small
Suriname,2006,3880.0,524997.0,163820.0,9.94123,False,False,3.0,small
Sweden,2006,49090.0,9080505.0,447420.11,0.25,True,False,2.0,small
Switzerland,2006,65290.0,7483934.0,41290.7,0.0,True,False,5.0,small
Syria,2006,1520.0,19637022.0,185180.0,30.43709,False,False,5.0,small
Tanzania,2006,510.0,40294902.0,947300.0,68.55511,False,False,8.0,medium
Timor-Leste,2006,1360.0,976597.0,14870.0,56.1,False,True,1.0,small
Togo,2006,560.0,6010668.0,56790.0,59.54209,False,False,3.0,small
Tonga,2006,2560.0,106253.0,750.0,1.65,False,False,0.0,small
Trinidad And Tobago,2006,13320.0,1297944.0,5130.0,10.28,True,False,0.0,small
Tunisia,2006,3290.0,10346410.0,163610.0,10.4,False,False,2.0,small
Turkiye,2006,7780.0,70045349.0,785350.0,20.39926,False,False,8.0,medium
Turkmenistan,2006,1770.0,5147105.0,488100.0,10.25739,False,False,4.0,small
Tuvalu,2006,3920.0,10056.0,30.0,3.75,False,False,0.0,small
Uganda,2006,350.0,28794003.0,241550.0,72.83447,False,False,5.0,small
Ukraine,2006,1930.0,47278694.0,603550.0,3.9,False,False,7.0,medium
United Arab Emirates,2006,41670.0,5009100.0,98647.9,0.95,True,False,2.0,small
United Kingdom,2006,44960.0,60846820.0,243610.0,0.1,True,False,1.0,medium
United States,2006,47850.0,298379912.0,9632030.0,0.2,True,False,0.0,large
Uruguay,2006,5470.0,3289506.0,176220.0,19.95,False,False,2.0,small
Uzbekistan,2006,600.0,26699043.0,444103.0,21.18651,False,False,5.0,small
Vanuatu,2006,1980.0,215923.0,12190.0,4.45,False,False,0.0,small
Venezuela,2006,6050.0,27224686.0,912050.0,25.7,False,False,3.0,small
Vietnam,2006,740.0,82167897.0,331212.0,30.48516,False,False,3.0,large
Yemen,2006,710.0,23543083.0,527970.0,55.94758,False,False,2.0,small
Zambia,2006,720.0,12129553.0,752610.0,59.12662,False,False,8.0,small
Zimbabwe,2006,280.0,12636445.0,390760.0,25.73569,False,False,4.0,small
Afghanistan,2008,370.0,26482622.0,652860.0,63.6,False,False,6.0,medium
Albania,2008,4160.0,2947314.0,28750.0,17.9,False,False,4.0,small
Algeria,2008,4430.0,34816961.0,2381740.0,30.8,False,False,7.0,medium
Angola,2008,3450.0,21578655.0,1246700.0,31.92344,False,False,4.0,small
Argentina,2008,7600.0,40424148.0,2780400.0,17.3893,False,True,5.0,medium
Armenia,2008,3390.0,3087100.0,29740.0,10.83987,False,False,4.0,small
Aruba,2008,26780.0,100917.0,180.0,0.0,True,False,0.0,small
Australia,2008,42510.0,21249199.0,7741220.0,0.105,True,True,0.0,small
Azerbaijan,2008,3900.0,8763400.0,86600.0,26.92667,False,False,5.0,small
Bangladesh,2008,640.0,149474264.0,148460.0,55.73415,False,False,2.0,large
Belgium,2008,46570.0,10709973.0,30528.0,0.0,True,False,4.0,small
Belize,2008,5170.0,304361.0,22970.0,15.74933,False,False,2.0,small
Benin,2008,970.0,9228466.0,114760.0,70.29258,False,False,4.0,small
Bhutan,2008,1850.0,686351.0,38394.0,54.47522,False,False,2.0,small
Bolivia,2008,1460.0,9850858.0,1098580.0,48.88953,False,False,5.0,small
Bosnia And Herzegovina,2008,4500.0,3947544.0,51210.0,4.7,False,False,3.0,small
Botswana,2008,5470.0,1949970.0,581730.0,50.20189,False,False,4.0,small
Brazil,2008,7680.0,190367302.0,8515770.0,21.51132,False,False,10.0,large
Brunei,2008,36700.0,377793.0,5770.0,30.56831,True,False,1.0,small
Bulgaria,2008,6070.0,7492561.0,111000.0,0.15,False,False,5.0,small
Burkina Faso,2008,550.0,15258093.0,274220.0,59.94701,False,False,6.0,small
Burundi,2008,180.0,8505637.0,27830.0,66.31802,False,False,3.0,small
Cabo Verde,2008,3360.0,501355.0,4030.0,61.43036,False,False,0.0,small
Cambodia,2008,780.0,14053479.0,181040.0,62.3,False,False,3.0,small
Cameroon,2008,1360.0,18574056.0,475440.0,52.28699,False,False,6.0,small
Canada,2008,44930.0,33247298.0,15640500.0,0.45,True,True,1.0,medium
Central African Republic,2008,390.0,4558984.0,622980.0,74.59712,False,False,6.0,small
Chad,2008,910.0,11476296.0,1284000.0,87.07463,False,False,6.0,small
Chile,2008,9950.0,16838988.0,756096.0,7.3,False,True,3.0,small
Colombia,2008,4770.0,43758808.0,1141750.0,15.79905,False,True,5.0,medium
Comoros,2008,1340.0,629307.0,1861.0,66.86223,False,False,0.0,small
Congo Dem. Rep,2008,300.0,64390664.0,2344860.0,73.29596,False,False,9.0,medium
Costa Rica,2008,6440.0,4440056.0,51100.0,9.03585,False,True,2.0,small
Cote D'Ivoire,2008,1000.0,21514439.0,322460.0,60.91402,False,False,5.0,small
Croatia,2008,13990.0,4309705.0,56590.0,0.35,True,False,5.0,small
Cuba,2008,5030.0,11291762.0,109890.0,4.25079,False,False,0.0,small
Cyprus,2008,31970.0,1091026.0,9250.0,0.25,True,False,0.0,small
Czechia,2008,18480.0,10384603.0,78870.0,0.05,True,False,4.0,small
Denmark,2008,60620.0,5493621.0,42920.0,0.0,True,False,1.0,small
Dominican Republic,2008,4700.0,9573130.0,48670.0,20.70217,False,False,1.0,small
Egypt,2008,1710.0,85864789.0,1001450.0,20.1855,False,True,4.0,large
El Salvador,2008,2910.0,6029297.0,21040.0,40.48857,False,False,2.0,small
Equatorial Guinea,2008,11310.0,1084530.0,28050.0,59.85517,False,False,2.0,small
Eritrea,2008,440.0,2816327.0,121644.279,67.40634,False,False,3.0,small
Estonia,2008,15190.0,1337090.0,45230.0,0.1,True,False,2.0,small
Eswatini,2008,3160.0,1098091.0,17360.0,40.50418,False,False,2.0,small
Ethiopia,2008,270.0,85543668.0,1136243.2,79.7906,False,False,6.0,large
Fiji,2008,3730.0,903399.0,18270.0,13.5,False,False,0.0,small
Finland,2008,50160.0,5313399.0,338420.0,0.0,True,False,3.0,small
France,2008,43580.0,64375116.0,549087.0,0.0,True,False,8.0,medium
Gabon,2008,6920.0,1607175.0,267670.0,49.9458,False,False,3.0,small
Gambia,2008,750.0,1817852.0,11300.0,49.70956,False,False,1.0,small
Georgia,2008,2820.0,3848449.0,69700.0,11.68087,False,False,4.0,small
Germany,2008,44360.0,82110097.0,357110.0,0.0,True,False,9.0,large
Ghana,2008,1120.0,24249946.0,238540.0,46.92763,False,False,3.0,small
Greece,2008,28330.0,11077841.0,131960.0,0.15,True,False,4.0,small
Guatemala,2008,2570.0,13935174.0,108890.0,46.5495,False,True,4.0,small
Guinea,2008,610.0,9898870.0,245860.0,44.00206,False,False,6.0,small
Guinea-Bissau,2008,540.0,1488054.0,36130.0,75.2,False,False,2.0,small
Guyana,2008,3820.0,754606.0,214970.0,22.02354,False,False,3.0,small
Haiti,2008,1010.0,9530774.0,27750.0,56.06078,False,False,1.0,small
Honduras,2008,1620.0,8012587.0,112490.0,38.56,False,True,3.0,small
Hungary,2008,13250.0,10038188.0,93030.0,10.4,True,False,7.0,small
Iceland,2008,52420.0,317414.0,103000.0,0.0,True,True,0.0,small
Indonesia,2008,1900.0,240157903.0,1910930.0,28.5089,False,True,3.0,large
Iran,2008,4720.0,75514204.0,1745150.0,54.47522,False,False,7.0,large
Iraq,2008,3470.0,28971036.0,438320.0,40.07209,False,False,6.0,medium
Ireland,2008,50940.0,4489544.0,70280.0,7.2,True,False,1.0,small
Italy,2008,37870.0,59211181.0,302069.0,0.02,True,False,6.0,medium
Kazakhstan,2008,5870.0,16426525.0,2724902.0,13.32194,False,False,5.0,small
Kenya,2008,830.0,39206351.0,580370.0,56.99891,False,False,5.0,medium
Kiribati,2008,1860.0,104222.0,810.0,13.1,False,False,0.0,small
Kuwait,2008,51800.0,2651421.0,17820.0,0.0,True,False,2.0,small
Kyrgyzstan,2008,760.0,5318729.0,199950.0,29.27078,False,False,4.0,small
Laos,2008,740.0,6148969.0,236800.0,40.7,False,False,5.0,small
Latvia,2008,12830.0,2177322.0,64594.0,1.85,True,False,4.0,small
Lebanon,2008,5860.0,4925354.0,10450.0,67.30186,False,False,2.0,small
Lesotho,2008,1310.0,1966541.0,30360.0,50.33592,False,False,1.0,small
Liberia,2008,370.0,3821003.0,111370.0,72.81052,False,False,3.0,small
Libya,2008,12020.0,6235430.0,1759540.0,30.98409,True,False,6.0,small
Lithuania,2008,12670.0,3198231.0,65300.0,2.4,True,False,4.0,small
Luxembourg,2008,86000.0,488650.0,2590.0,0.00596,True,False,3.0,small
Madagascar,2008,430.0,20923840.0,587040.0,81.82945,False,False,0.0,small
