country,year,"GNI per capita, Atlas method (current US$)","Population, total",Surface area (sq. km),Population living in slums (% of urban population),hie,near_2_plus_oceans,border_count,size
Malawi,2000,230.0,11315942.0,118480.0,81.41073,False,False,3.0,medium
Mali,2000,280.0,11559290.0,1240190.0,83.87627,False,False,7.0,large
Malta,2000,11480.0,390087.0,320.0,0.0375,True,False,0.0,small
Mauritania,2000,730.0,2613441.0,1030700.0,84.69319,False,False,4.0,small
Mauritius,2000,3960.0,1186873.0,2040.0,76.73784,False,False,0.0,small
Mexico,2000,6570.0,98625552.0,1964380.0,32.16297,False,True,3.0,large
Moldova,2000,490.0,2924668.0,33840.0,26.5,False,False,2.0,small
Mongolia,2000,470.0,2388299.0,1564120.0,57.60411,False,False,2.0,small
Montenegro,2000,1510.0,604950.0,13810.0,19.1,False,False,4.0,small
Morocco,2000,1580.0,28423435.0,446550.0,33.15472,False,False,3.0,large
Mozambique,2000,330.0,18129653.0,799380.0,90.09549,False,False,6.0,large
Myanmar,2000,190.0,45290841.0,676590.0,29.39935,False,False,5.0,large
Namibia,2000,2210.0,1818647.0,824290.0,42.55683,False,False,4.0,small
Nauru,2000,3050.0,10168.0,20.0,3.6,False,False,0.0,small
Nepal,2000,220.0,24546509.0,147180.0,66.31029,False,False,2.0,medium
Netherlands,2000,28140.0,15925513.0,41530.0,0.0,True,False,2.0,medium
New Zealand,2000,14070.0,3857700.0,267710.0,0.0,True,False,0.0,small
Nicaragua,2000,970.0,5022633.0,130370.0,71.59811,False,True,2.0,medium
Niger,2000,220.0,11509630.0,1267000.0,70.03805,False,False,7.0,large
North Macedonia,2000,1920.0,2026350.0,25710.0,1.3,False,False,4.0,small
Norway,2000,36600.0,4490967.0,385178.0,0.0,True,True,3.0,medium
Oman,2000,8070.0,2282131.0,309500.0,4.25,False,False,3.0,small
Pakistan,2000,470.0,154879127.0,796100.0,71.22167,False,False,4.0,large
Palau,2000,6860.0,19178.0,460.0,2.15,False,False,0.0,small
Panama,2000,3810.0,3010369.0,75420.0,48.67615,False,True,2.0,small
Papua New Guinea,2000,600.0,5537064.0,462840.0,19.75,False,False,1.0,medium
Paraguay,2000,1500.0,5100868.0,406750.0,42.02714,False,False,3.0,medium
Peru,2000,1960.0,26598331.0,1285220.0,47.41309,False,False,5.0,large
Philippines,2000,1150.0,79625397.0,300000.0,49.97359,False,False,0.0,medium
Poland,2000,4690.0,38258629.0,312690.0,2.1,False,False,7.0,medium
Portugal,2000,12180.0,10289898.0,92120.0,1.25,True,False,1.0,medium
Romania,2000,1710.0,22442971.0,238390.0,0.0,False,False,5.0,medium
Russia,2000,1710.0,146596869.0,17098240.0,3.65,False,True,14.0,large
Rwanda,2000,270.0,8213931.0,26340.0,71.42051,False,False,4.0,medium
Samoa,2000,1410.0,181685.0,2840.0,4.55,False,False,0.0,small
Senegal,2000,650.0,9968260.0,196710.0,67.15485,False,False,5.0,medium
Serbia,2000,1720.0,7516346.0,88360.0,0.65,False,False,8.0,medium
Seychelles,2000,7920.0,81131.0,460.0,76.73784,False,False,0.0,small
Sierra Leone,2000,150.0,4423611.0,72300.0,73.9,False,False,2.0,medium
Singapore,2000,23680.0,4027887.0,680.0,0.0,True,False,0.0,small
Slovakia,2000,5520.0,5388720.0,49030.0,0.05,False,False,5.0,medium
Solomon Islands,2000,920.0,440469.0,28900.0,10.4,False,False,0.0,small
Somalia,2000,370.0,8838713.0,637660.0,76.73784,False,False,3.0,large
South Africa,2000,3260.0,47159719.0,1219090.0,27.60971,False,True,6.0,large
Sri Lanka,2000,860.0,19293054.0,65610.0,57.60128,False,False,0.0,medium
St. Lucia,2000,5500.0,158616.0,620.0,4.85,False,False,0.0,small
Sudan,2000,330.0,27816745.0,2505810.0,21.7636,False,False,7.0,large
Suriname,2000,1950.0,476643.0,163820.0,7.43018,False,False,3.0,small
Sweden,2000,31600.0,8872109.0,447420.11,0.3,True,False,2.0,large
Switzerland,2000,44580.0,7184250.0,41290.7,0.0,True,False,5.0,medium
Syria,2000,890.0,16637888.0,185180.0,30.70216,False,False,5.0,medium
Tanzania,2000,400.0,34260139.0,947300.0,81.32802,False,False,8.0,large
Togo,2000,420.0,5140037.0,56790.0,69.27204,False,False,3.0,medium
Tonga,2000,2010.0,102677.0,750.0,1.8,False,False,0.0,small
Trinidad And Tobago,2000,5180.0,1319774.0,5130.0,11.06,False,False,0.0,small
Turkiye,2000,4180.0,65425961.0,785350.0,24.58136,False,False,8.0,large
Turkmenistan,2000,590.0,4582677.0,488100.0,10.5,False,False,4.0,medium
Tuvalu,2000,2330.0,9544.0,30.0,2.1777,False,False,0.0,small
Uganda,2000,270.0,24000150.0,241550.0,80.90118,False,False,5.0,medium
Ukraine,2000,680.0,49556660.0,603550.0,5.0,False,False,7.0,large
United Arab Emirates,2000,28170.0,3493575.0,98647.9,0.7025,True,False,2.0,small
United Kingdom,2000,29550.0,58892514.0,243610.0,0.1,True,False,1.0,medium
United States,2000,35960.0,282162411.0,9632030.0,0.2,True,False,0.0,large
Uruguay,2000,7180.0,3266206.0,176220.0,23.7,False,False,2.0,small
Uzbekistan,2000,620.0,24787054.0,444103.0,29.45579,False,False,5.0,large
Vanuatu,2000,1420.0,186281.0,12190.0,4.55,False,False,0.0,small
Venezuela,2000,4070.0,24526708.0,912050.0,27.82014,False,False,3.0,large
Vietnam,2000,390.0,77154011.0,329240.0,45.31667,False,False,3.0,medium
Yemen,2000,380.0,19624141.0,527970.0,63.81216,False,False,2.0,large
Zambia,2000,350.0,10017631.0,752610.0,63.78455,False,False,8.0,large
Zimbabwe,2000,350.0,11892055.0,390760.0,27.52175,False,False,4.0,large
Albania,2002,1420.0,3051010.0,28750.0,25.5,False,False,4.0,small
Angola,2002,620.0,17327699.0,1246700.0,19.7,False,False,4.0,large
Argentina,2002,4010.0,38029349.0,2780400.0,19.56624,False,True,5.0,large
Armenia,2002,760.0,3199800.0,29740.0,12.30696,False,False,4.0,small
Aruba,2002,19220.0,92074.0,180.0,0.0,True,False,0.0,small
Australia,2002,20240.0,19495210.0,7741220.0,0.165,True,True,0.0,large
Austria,2002,24860.0,8081957.0,83879.0,4.4,True,False,8.0,medium
Azerbaijan,2002,740.0,8171950.0,86600.0,44.93667,False,False,5.0,medium
Bangladesh,2002,420.0,138933658.0,148460.0,57.66662,False,False,2.0,large
Belgium,2002,24060.0,10332785.0,30528.0,0.0,True,False,4.0,medium
Belize,2002,4550.0,256009.0,22970.0,15.76133,False,False,2.0,small
Benin,2002,510.0,7675426.0,114760.0,71.47241,False,False,4.0,medium
Bhutan,2002,860.0,624409.0,40077.0,56.79227,False,False,2.0,small
Bolivia,2002,900.0,8900355.0,1098580.0,55.68105,False,False,5.0,medium
Bosnia And Herzegovina,2002,1590.0,4188002.0,51210.0,5.1,False,False,3.0,small
Botswana,2002,2860.0,1744763.0,581730.0,56.56976,False,False,4.0,small
Brazil,2002,3120.0,178503484.0,8515770.0,31.43266,False,False,10.0,large
Brunei,2002,18960.0,340099.0,5770.0,35.7893,True,False,1.0,small
Bulgaria,2002,1970.0,7837161.0,110990.0,0.1,False,False,5.0,medium
Burkina Faso,2002,260.0,12680897.0,274220.0,76.64539,False,False,6.0,medium
Burundi,2002,130.0,6824132.0,27830.0,79.7,False,False,3.0,medium
Cabo Verde,2002,1230.0,467046.0,4030.0,68.62824,False,False,0.0,small
Cambodia,2002,320.0,12855241.0,181040.0,79.2,False,False,3.0,medium
Cameroon,2002,700.0,15725528.0,475440.0,62.0946,False,False,6.0,large
Canada,2002,23590.0,31359199.0,15640500.0,0.25,True,True,1.0,large
Central African Republic,2002,240.0,4006077.0,622980.0,83.12315,False,False,6.0,small
Chad,2002,190.0,9116192.0,1284000.0,90.45647,False,False,6.0,medium
Chile,2002,4520.0,15857925.0,756096.0,10.97,False,True,3.0,large
Colombia,2002,2410.0,40324680.0,1141750.0,19.83238,False,True,5.0,large
Comoros,2002,700.0,558923.0,1861.0,65.08643,False,False,0.0,small
Congo Dem. Rep,2002,180.0,53750524.0,2344860.0,71.91424,False,False,9.0,large
Costa Rica,2002,3790.0,4075705.0,51100.0,11.78091,False,True,2.0,small
Cote D'Ivoire,2002,530.0,18654771.0,322460.0,65.53594,False,False,5.0,large
Croatia,2002,5650.0,4302174.0,56540.0,0.4,False,False,5.0,small
Cuba,2002,2830.0,11177418.0,109890.0,2.15371,False,False,0.0,medium
Cyprus,2002,14510.0,981440.0,9250.0,0.2,True,False,0.0,small
Czechia,2002,6680.0,10196916.0,78870.0,0.05,False,False,4.0,medium
Denmark,2002,30870.0,5375931.0,42920.0,0.0,True,False,1.0,medium
Dominican Republic,2002,2850.0,8852235.0,48670.0,27.79214,False,False,1.0,medium
Ecuador,2002,1650.0,13138472.0,256370.0,57.84727,False,False,2.0,medium
Egypt,2002,1250.0,76239137.0,1001450.0,36.71599,False,True,4.0,large
El Salvador,2002,1990.0,5986631.0,21040.0,49.5,False,False,2.0,medium
Equatorial Guinea,2002,1050.0,797957.0,28050.0,60.09282,False,False,2.0,small
Eritrea,2002,310.0,2392978.0,117600.0,74.76156,False,False,3.0,small
Estonia,2002,4620.0,1379350.0,45230.0,0.05,False,False,2.0,small
Eswatini,2002,1470.0,1059441.0,17360.0,55.35217,False,False,2.0,small
Ethiopia,2002,120.0,71635517.0,1104300.0,89.07633,False,False,6.0,large
Fiji,2002,2050.0,858049.0,18270.0,15.0,False,False,0.0,small
Finland,2002,25610.0,5200598.0,338150.0,0.0,True,False,3.0,medium
France,2002,23040.0,61812142.0,549087.0,0.0,True,False,8.0,large
Gabon,2002,3460.0,1345135.0,267670.0,55.55895,False,False,3.0,small
Gambia,2002,410.0,1535691.0,11300.0,55.11779,False,False,1.0,small
Georgia,2002,840.0,3978515.0,69700.0,13.6,False,False,4.0,small
Germany,2002,23920.0,82488495.0,357040.0,0.0,True,False,9.0,large
Ghana,2002,270.0,20729388.0,238540.0,57.00822,False,False,3.0,large
Greece,2002,12980.0,10902022.0,131960.0,0.25,True,False,4.0,medium
Guatemala,2002,1590.0,12246915.0,108890.0,53.25944,False,True,4.0,medium
Guinea,2002,500.0,8674066.0,245860.0,41.49952,False,False,6.0,medium
Guyana,2002,870.0,763652.0,214970.0,26.1,False,False,3.0,small
Haiti,2002,740.0,8607641.0,27750.0,59.97767,False,False,1.0,medium
Honduras,2002,1070.0,6938859.0,112490.0,44.4,False,True,3.0,medium
